year,month,year_month,produced_off_peak,produced_peak,consumed_off_peak,consumed_peak,net_off_peak,net_peak,produced_peak_pct,consumed_peak_pct
2022,4,2022-04,888.8760000000007,114.89499999999995,370.64600000000024,50.06500000000003,-518.2300000000005,-64.82999999999993,0.11446335867443858,0.11900092937907494
2022,5,2022-05,1699.8889999999988,294.5710000000001,673.4890000000072,111.15099999999998,-1026.3999999999915,-183.4200000000001,0.1476946140810045,0.1416585950244685
2022,6,2022-06,1722.7830000000008,556.965,996.2729999999998,206.46499999999995,-726.510000000001,-350.5000000000001,0.24430989740971362,0.17166249008512244
2022,7,2022-07,1737.8510000000003,499.2660000000002,1069.7110000000007,249.78600000000003,-668.1399999999996,-249.48000000000016,0.22317384383561523,0.18930395446143483
2022,8,2022-08,1575.8729999999991,575.8769999999998,1285.1429999999973,270.52699999999993,-290.73000000000184,-305.3499999999999,0.26763192750087145,0.17389742040407052
2022,9,2022-09,1202.5029999999992,430.147,890.4829999999977,153.45700000000016,-312.0200000000016,-276.6899999999998,0.26346553149787166,0.14699791175738117
2022,10,2022-10,914.0569999999989,262.46199999999993,937.0169999999955,111.97199999999998,22.959999999996626,-150.48999999999995,0.2230835201131475,0.10674277804629073
2022,11,2022-11,740.6249999999991,169.09000000000012,1187.3649999999998,149.35,446.7400000000007,-19.740000000000123,0.18587139928439156,0.1117291270016421
2022,12,2022-12,659.0159999999998,7.684999999999999,1891.285999999998,265.56500000000017,1232.2699999999982,257.88000000000017,0.011526906364322239,0.12312626138755083
2023,1,2023-01,540.5740000000006,12.694,1646.6739999999936,207.26400000000012,1106.099999999993,194.57000000000014,0.02294367286739878,0.11179661887290773
2023,2,2023-02,933.988,45.474,1844.1079999999954,250.70400000000006,910.1199999999953,205.23000000000008,0.046427528582017465,0.11967852007721963
2023,3,2023-03,1357.4160000000002,168.56199999999995,1593.195999999999,151.022,235.77999999999884,-17.539999999999964,0.11046161871272059,0.08658436044118344
2023,4,2023-04,1541.0840000000012,245.25399999999996,824.0440000000085,141.6340000000001,-717.0399999999927,-103.61999999999986,0.13729428585183756,0.14666793693135685
2023,5,2023-05,2091.972000000001,368.30099999999976,820.7120000000077,104.17099999999995,-1271.2599999999934,-264.1299999999998,0.14969924069402038,0.11263154366552211
2023,6,2023-06,1464.445999999998,457.7870000000001,854.2460000000048,113.38700000000001,-610.1999999999933,-344.4000000000001,0.23815375139226125,0.11717975720133507
2023,7,2023-07,1608.562999999999,563.6249999999993,1226.0729999999994,222.29500000000016,-382.48999999999955,-341.32999999999913,0.2594733973302494,0.15347964053334529
2023,8,2023-08,1415.8960000000002,494.615,863.1360000000021,140.725,-552.7599999999981,-353.89,0.25889146935034657,0.14018375053916796
2023,9,2023-09,1137.7729999999992,413.7530000000004,908.3730000000116,118.46299999999992,-229.39999999998759,-295.2900000000005,0.2666748736405323,0.11536701089560415
2023,10,2023-10,913.497999999999,336.6520000000001,909.1880000000114,126.67199999999988,-4.309999999987667,-209.98000000000022,0.26928928528576596,0.12228679551290571
2023,11,2023-11,824.5560000000002,175.46700000000016,1316.4460000000006,125.78699999999995,491.89000000000044,-49.680000000000206,0.17546296435182,0.08721683666924823
2023,12,2023-12,492.23800000000045,5.088,1445.4479999999996,228.74800000000013,953.2099999999991,223.66000000000014,0.01023071385771103,0.13663155329483537
2024,1,2024-01,406.8779999999998,8.416,1689.2779999999964,217.91600000000005,1282.3999999999965,209.50000000000006,0.020265161548204416,0.11426000710992194
2024,2,2024-02,926.174,47.00599999999999,1470.3139999999994,196.10599999999982,544.1399999999994,149.09999999999982,0.04830144474814525,0.11768101679048494
2024,3,2024-03,1329.991000000001,151.51499999999987,1161.0110000000025,166.61499999999998,-168.97999999999843,15.100000000000108,0.10227093241606837,0.12549844609852448
2024,4,2024-04,1457.8230000000015,203.43699999999995,936.6230000000078,153.9870000000001,-521.1999999999937,-49.44999999999985,0.12245945848331977,0.14119346054043058
2024,5,2024-05,1578.328,317.94399999999996,669.6180000000077,169.794,-908.7099999999923,-148.14999999999995,0.16766792949534665,0.20227730840159358
2024,6,2024-06,1781.6159999999995,527.1839999999997,948.296000000005,135.8539999999999,-833.3199999999945,-391.3299999999998,0.2283367983367983,0.12530922842779993
2024,7,2024-07,1619.2100000000005,575.856,1156.580000000003,206.0959999999999,-462.6299999999974,-369.7600000000001,0.2623410867828119,0.1512435824803544
2024,8,2024-08,770.1749999999996,222.91100000000006,394.9750000000013,42.63100000000001,-375.19999999999834,-180.28000000000006,0.22446293674465265,0.0974186825591968
